WMO Region;Country;Station;Latitude;Longitude;Elevation;WMO Index
Europe;Finland;Virolahti;60.5333328247;27.6833324432;4;0-20008-0-VIR
Europe;Germany;Waldhof-Langenbrügge;52.800867;10.75623;74;0-20008-0-WAL
Europe;Germany;Arkona;54.6666679382;13.4166669846;42;0-20008-0-AKN
Europe;Germany;Lindenberg;52.2166671753;14.1166667938;112;0-20008-0-LIN
Europe;Norway;Murchison Bay;80;18;-1;0-20008-0-MUB
Europe;Spain;Noia;42.720556;-8.923611;685;0-20008-0-NIA
Europe;Austria;Gross-Enzersdorf;48.2000007629;16.5699996948;156;0-20008-0-GED
Europe;Sweden;Norra Kvill;57.8166656494;15.5666666031;261;0-20008-0-NKV
Europe;Italy;CETEMPS/DSFC Università Degli Studi dell'Aquila;42.3683013916;13.3505001068;656;0-20008-0-CEO
Europe;Italy;Trapani;37.9166679382;12.5;7;0-20008-0-TRP
Europe;Sweden;Gårdsjön;58.0499992371;12.0166664124;113;0-20008-0-GDS
Europe;Russian Federation;Janiskoski;68.9333343506;28.8500003815;118;0-20008-0-JNS
Europe;Denmark;Scoresbysund;70.48444444;-21.95111111;25;0-20008-0-SCB
Europe;Russian Federation;Murmansk;68.9666671753;33.0499992371;46;0-20008-0-MRM
Europe;Croatia;Zadar;44.1333351135;15.2166662216;5;0-20008-0-ZAD
Europe;France;Mont Louis;42.5;2.1300001144;1650;0-20008-0-MOL
Europe;Germany;Schmuecke;50.6500015259;10.7700004578;937;0-20008-0-SMU
Europe;Russian Federation;Pinega;64.6999969482;43.4000015259;28;0-20008-0-PIN
Europe;Denmark;Site J;66.5;-46.2000007629;2030;0-20008-0-GRL
Europe;Germany;Falkenberg;52.1666679382;14.1166667938;73;0-20008-0-DFA
Europe;Portugal;Beja;38.0200004578;-7.8699998856;246;0-20008-0-BEJ
Europe;Austria;Sonnblick;47.0538902283;12.9588890076;3106;0-20008-0-SNB
Europe;Portugal;Viana do Castelo;41.7000007629;-8.8000001907;16;0-20008-0-VDC
Europe;Russian Federation;Shadzhatmaz (Novopyatigorsk);43.7299995422;42.5999984741;2070;0-20008-0-SDM
Europe;Netherlands;Cesar (Cabauw);51.9710006714;4.9270000458;-1;0-20008-0-CES
Europe;Denmark;Faeroerne-Akraber;61.4000015259;-6.6666665077;90;0-20008-0-FAA
Europe;United Kingdom (the);Tacolneston Tall Tower;52.5177;1.1386;56;0-20008-0-TAC
Europe;Denmark;Anholt;56.7166671753;11.5166664124;40;0-20008-0-ANH
Europe;Norway;Prestebakke;59;11.5333337784;160;0-20008-0-PRB
Europe;United Kingdom (the);Lullington Heath;52;0.5;50;0-20008-0-LNH
Europe;Finland;Oulanka;66.3199996948;29.3999996185;310;0-20008-0-OUX
Europe;Denmark;Sepstrup Sande;56.0833320618;9.6000003815;60;0-20008-0-SSS
Europe;France;MOZAIC-IAGOS Paris Roissy Airport;49;2.5799999237;118;0-20008-0-CDG
Europe;Romania;Stana de Vale;46.6898199891;22.6233821978;1108;0-20008-0-STN
Europe;Austria;Illmitz;47.7666664124;16.7666664124;117;0-20008-0-ILL
Europe;Finland;Hyytiälä;61.84738441;24.2947798;181;0-20008-0-SMR
Europe;Ukraine;Lvov;49.5099983215;24.0300006866;329;0-20008-0-LVO
Europe;Germany;Maisach;48.2089996338;11.2580003738;516;0-20008-0-MUC
